Date,Stop Ref,Time,Subject,Reason for Stop,Outcome,Outcome Reason,Apparent Age,Gender,Ethnic Appearance Code,EA Group,Self-defined Ethnicity Code,SDE Group,,
03/09/2020,YRZS00097310,01:00:00,Person and Vehicle                                                                                                                                                                                                                                             ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,22,M                                                 ,6 Middle Eastern                                  ,Other,O9 Any other et,Other,,
03/09/2020,YRZS00097317,17:40:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),13 Community resolution,B Drugs                                           ,34,F                                                 ,1 White - North European                          ,White,W1 British,White,,
03/09/2020,YRZS00097331,15:10:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),13 Community resolution,B Drugs                                           ,16,F                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
03/09/2020,YRZS00097318,17:51:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,13,F                                                 ,3 Black                                           ,Black,M1 White and Bl,Other,,
03/09/2020,YRZS00097723,19:16:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,38,M                                                 ,1 White - North European                          ,White,W1 British,White,,
03/09/2020,YRZS00097724,19:23:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,22,M                                                 ,1 White - North European                          ,White,W1 British,White,,
03/09/2020,YRZS00097323,19:50:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,1 White - North European                          ,White,W1 British,White,,
03/09/2020,YRZS00097353,20:40:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,16,M                                                 ,2 White - South European                          ,White,W9 Any other Wh,White,,
03/09/2020,YRZS00097321,15:47:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,47,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
03/09/2020,YRZS00097313,09:05:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,54,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
03/09/2020,YRZS00097312,11:25:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,40,M                                                 ,6 Middle Eastern                                  ,Other,A9 Any other As,Asian,,
03/09/2020,YRZS00097396,15:45:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),4 Arrested,T Theft Fraud & Counterfeit Offences             ,21,M                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
03/09/2020,YRZS00097328,22:20:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,30,F                                                 ,3 Black                                           ,Black,B1 Caribbean,Black,,
03/09/2020,YEZS00089616,09:30:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,19,M                                                 ,2 White - South European                          ,White,W1 British,White,,
03/09/2020,YRZS00097311,12:20:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,24,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
03/09/2020,YRZS00097319,20:14:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,19,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
04/09/2020,YRZS00097341,16:45:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),4 Arrested,B Drugs                                           ,19,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
04/09/2020,YRZS00097332,11:00:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),13 Community resolution,B Drugs                                           ,31,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
04/09/2020,YRZS00097343,19:15:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,31,F                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
04/09/2020,YRZS00097339,11:39:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,30,F                                                 ,2 White - South European                          ,White,W9 Any other Wh,White,,
04/09/2020,YRZS00097335,11:45:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,39,M                                                 ,1 White - North European                          ,White,W1 British,White,,
04/09/2020,YRZS00097342,21:45:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,2 White - South European                          ,White,W1 British,White,,
04/09/2020,YRZS00097336,12:10:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,19,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
04/09/2020,YRZS00097345,18:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,31,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
04/09/2020,YRZS00097347,22:30:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,26,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
04/09/2020,YRZS00097348,19:09:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,44,M                                                 ,3 Black                                           ,Black,M2 White and Bl,Other,,
04/09/2020,YRZS00097329,01:47:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,27,M                                                 ,3 Black                                           ,Black,N1 Officer's pr,Other,,
04/09/2020,YRZS00097333,12:10:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,21,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
04/09/2020,YRZS00097337,11:30:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,45,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
04/09/2020,YRZS00097344,21:51:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,4 Asian                                           ,Asian,M3 White and As,Other,,
04/09/2020,YEZS00089630,00:04:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,34,M                                                 ,4 Asian                                           ,Asian,N3 Person does,Other,,
04/09/2020,YRZS00097334,13:00:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,26,M                                                 ,6 Middle Eastern                                  ,Other,N4 Person decli,Other,,
04/09/2020,YRZS00097338,11:00:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),4 Arrested,T Theft Fraud & Counterfeit Offences             ,46,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
04/09/2020,YRZS00097447,15:19:00,Person and Vehicle                                                                                                                                                                                                                                             ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,31,M                                                 ,2 White - South European                          ,White,O9 Any other et,Other,,
04/09/2020,YRZS00097349,22:30:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,22,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
04/09/2020,FHZS00096138,18:00:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,16,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
04/09/2020,YRZS00097346,18:49:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,15,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
05/09/2020,BSZS00083443,11:55:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,50,M                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
05/09/2020,YRZS00097354,16:45:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
05/09/2020,YRZS00097357,16:45:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,18,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
05/09/2020,YRZS00097441,16:55:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),4 Arrested,B Drugs                                           ,21,M                                                 ,0 Unknown                                         ,Other,N3 Person does,Other,,
05/09/2020,YRZS00097358,16:22:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),4 Arrested,B Drugs                                           ,51,M                                                 ,1 White - North European                          ,White,W1 British,White,,
05/09/2020,YRZS00097359,20:25:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),4 Arrested,B Drugs                                           ,18,M                                                 ,3 Black                                           ,Black,B1 Caribbean,Black,,
05/09/2020,YRZS00097365,18:05:00,Person and Vehicle                                                                                                                                                                                                                                             ,B Drugs (s.23 Misuse of Drugs Act),11 Penalty Notice (PND/FPN),B Drugs                                           ,27,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
05/09/2020,YRZS00097368,17:40:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),13 Community resolution,B Drugs                                           ,19,M                                                 ,3 Black                                           ,Black,M2 White and Bl,Other,,
05/09/2020,YRZS00097375,20:40:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,2 White - South European                          ,White,W9 Any other Wh,White,,
05/09/2020,YRZS00097367,18:00:00,Vehicle                                                                                                                                                                                                                                                        ,B Drugs (s.23 Misuse of Drugs Act),4 Arrested,B Drugs                                           ,0,V                                                 ,                                                  ,Other,,Other,,
05/09/2020,YRZS00097356,18:30:00,Vehicle                                                                                                                                                                                                                                                        ,B Drugs (s.23 Misuse of Drugs Act),4 Arrested,B Drugs                                           ,0,V                                                 ,                                                  ,Other,,Other,,
05/09/2020,YRZS00097364,17:43:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,0 Unknown                                         ,Other,N4 Person decli,Other,,
05/09/2020,YRZS00097372,17:17:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,35,M                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
05/09/2020,YRZS00097363,17:30:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,22,M                                                 ,1 White - North European                          ,White,W9 Any other Wh,White,,
